ugly,85.284,b2
string,84.919,b1
excellent,84.9051,b1
grow,84.895,a1
minute,84.878,a1
lots,84.8173,b1
colour,84.8033,
evidence,84.699,a2
brown,84.5507,b1
beef,84.5411,b2
card,84.5105,a2
letters,84.3782,
reduction,84.2872,b2
union,84.2772,b1
filled,84.2378,
finance,84.2178,b2
fail,84.1101,a2
station,83.991,a2
plot,83.8983,b1
clearly,83.8377,a2
submit,83.6529,b2
covered,83.6056,
browsing,83.5305,
sun,83.4636,a2
minimum,83.417,b2
wonder,83.1884,a2
easily,82.8997,b1
acting,82.6255,c1
laid,82.6206,
concerned,82.6118,b1
bond,82.6025,b1
continuing,82.4056,c1
scheduled,82.2049,c1
star,82.2041,a2
community,82.0169,a1
estimate,81.9613,b1
hurt,81.9396,a2
successful,81.9285,b1
improved,81.8947,c1
imported,81.8097,
principle,81.7896,b1
em,81.7667,
honey,81.7401,b1
older,81.722,
tag,81.7054,b2
cookie,81.6354,b2
mid,81.5426,c1
falls,81.4622,
sharply,81.4162,c1
path,81.3637,b1
cocoa,81.32,
direct,81.0937,a2
filing,80.9955,c1
flat,80.9927,b1
mainly,80.9547,b2
witch,80.9349,b2
activity,80.9265,a2
elements,80.8821,
learn,80.8303,a1
quick,80.8296,a2
aid,80.7506,b1
choice,80.6006,a2
silver,80.4511,b2
worse,80.4189,
structure,80.3319,b1
script,80.3285,b2
ice,80.2748,b1
tall,80.0885,b1
battle,80.0037,b1
rain,79.9633,b1
spend,79.9375,a1
master,79.8418,a2
society,79.8392,a2
secure,79.7104,b1
perfect,79.7017,a2
lack,79.6654,a2
jar,79.4663,b2
provision,79.3883,b2
feature,79.3803,a2
post,79.3664,a1
reflect,79.3615,b1
slowly,79.2632,b1
alert,79.1007,b2
serve,79.0521,a1
spring,79.0447,a2
teeth,78.997,
y,78.9176,
regular,78.6199,b1
spent,78.4942,
knowledge,78.2068,a2
object,78.135,b1
developed,78.0593,c1
radio,78.0561,b1
speed,78.0468,b1
rice,77.9375,b2
automatically,77.9099,b2
delivery,77.8071,b2
crack,77.7434,b1
teen,77.7189,b2
limit,77.6852,a2
determined,77.6471,c1
agree,77.6158,a2
honest,77.5941,b1
beat,77.5172,a2
server,77.4332,b2
lie,77.3488,a2
equal,77.2508,b1
restart,77.2285,
method,77.1396,b1
afternoon,77.1055,b1
captain,77.0953,b1
boat,77.0928,b1
package,77.008,b1
surface,76.8213,b1
bright,76.8143,b1
smoke,76.7977,b1
century,76.7924,a2
smaller,76.7834,
interview,76.7744,a2
section,76.6513,a2
sheet,76.4298,b1
wind,76.34,a2
dirty,76.2917,b1
arrow,76.2625,c1
pee,76.1215,b2
incorrectly,76.0525,
cross,76.0263,a2
forced,76.0096,c1
construction,75.8314,b1
faith,75.7334,b1
classic,75.72,b1
delete,75.6632,c1
webpage,75.5446,
